,CityID,CityName,Country,Lat,Lng,Temperature,MaxTemp,Humidity,Cloudiness,WindSpeed
393,3985168,San Patricio,MX,19.22,-104.7,81.45,81.45,73,0,7.11
394,1568574,Qui Nhon,VN,13.77,109.23,74.19,74.19,70,99,0.98
395,533418,Lukovetskiy,RU,64.3,41.92,28.4,28.4,92,90,13.42
396,3464343,Eldorado,BR,-23.79,-54.28,73.83,73.83,86,100,4.21
397,1490256,Talnakh,RU,69.49,88.4,-20.2,-20.2,68,100,8.95
398,6148373,Sioux Lookout,CA,50.1,-91.92,21.2,21.2,79,90,11.41
399,4169452,Punta Gorda,US,26.93,-82.05,42.93,46.4,52,1,12.75
400,2931521,Eisenberg,DE,50.97,11.9,24.46,28.99,92,7,4.7
401,3460355,Jaciara,BR,-15.97,-54.97,74.75,74.75,86,100,3.76
402,2016405,Smolenka,RU,52.14,113.5,-9.4,-9.4,69,99,2.24
403,1695751,Panacan,PH,9.25,118.41,89.6,89.6,55,20,13.87
404,885800,Mount Darwin,ZW,-16.77,31.58,59.47,59.47,94,100,3.13
405,706289,Khorol,UA,49.78,33.28,34.93,34.93,88,100,14.03
406,2270385,Camacha,PT,33.08,-16.33,55.65,57.2,67,20,8.05
407,2527087,Tiznit,MA,29.58,-9.5,44.92,44.92,88,29,1.3
408,1715493,Daram,PH,11.63,124.79,82.04,82.04,67,6,10.51
409,3893629,Coquimbo,CL,-29.95,-71.34,62.6,62.6,88,90,6.93
410,2178753,Kirakira,SB,-10.45,161.92,83.62,83.62,78,8,2.93
411,110690,Faya,SA,18.39,42.45,51.8,51.8,81,75,13.87
412,3985710,Cabo San Lucas,MX,22.89,-109.91,68.36,70,64,5,5.79
413,3354071,Oranjemund,NA,-28.55,16.43,62.46,62.46,90,2,1.83
414,2367568,Bassar,TG,9.25,0.78,75.2,75.2,36,72,9.17
415,5919850,Chapais,CA,49.78,-74.85,17.6,17.6,92,90,8.05
416,1795565,Shenzhen,CN,22.55,114.07,71.65,75,73,75,4.47
417,3430545,Moron,AR,-34.65,-58.62,72.7,75.2,94,75,6.93
418,2071860,Esperance,AU,-33.87,121.9,62.6,62.6,82,75,21.92
419,2144528,Warrnambool,AU,-38.38,142.48,64.99,64.99,80,100,18.43
420,343292,Asosa,ET,10.07,34.53,61.38,61.38,33,11,7.31
421,3665315,Anori,BR,-3.77,-61.64,75.6,75.6,97,100,1.1
422,3440777,Rocha,UY,-34.48,-54.33,68.43,68.43,88,100,7.87
423,1528606,Kemin,KG,42.78,75.69,14.05,14.05,86,100,1.43
424,5374920,Morro Bay,US,35.37,-120.85,48.06,51.01,87,1,3.94
